participantID,trialNumber,spawnPosition,targetLandmark,timeTaken,granularDistanceTravelled,ManhattanRoute,ManhattanRouteDistance
a,0,(8 3),Anvil,7.561226,26.27228,(8 3) (8 2) (7 2) (6 2) (5 2) (5 3) (4 3) (3 3) (3 2),8
a,1,(6 6),Hammer,4.028145,30.99795,(6 6) (5 6) (4 6) (4 7) (4 8) (4 9) (4 10) (5 10),7
a,2,(11 7),Chair,5.257057,46.13993,(11 7) (11 6) (11 5) (11 4) (11 5) (11 4) (11 3) (11 2) (10 2) (9 2) (8 2) (8 3) (8 4) (7 4),13
a,3,(6 1),Crate,6.436394,52.12175,(6 1) (6 2) (5 2) (5 3) (4 3) (3 3) (4 3) (5 3) (5 4) (5 5) (5 6) (6 6) (6 7) (7 7) (8 7),14
a,4,(4 8),Tombstone,3.925125,23.48825,(4 8) (4 7) (3 7) (4 7) (4 6) (5 6) (6 6) (6 7),7
a,5,(3 3),Lamppost,5.406036,48.9403,(3 3) (4 3) (3 3) (2 3) (1 3) (1 4) (1 5) (1 6) (1 7) (1 8) (1 9) (1 10) (2 10),12
a,6,(9 6),Barrel,2.615959,25.48208,(9 6) (10 6) (11 6) (11 7) (11 8) (11 9) (11 10) (10 10) (10 11),8
a,7,(1 1),Trashcan,3.566902,36.77116,(1 1) (1 2) (1 3) (1 4) (1 3) (2 3) (3 3) (4 3) (5 3) (5 4) (6 4),10
a,8,(4 9),Mailbox,2.531807,23.24698,(4 9) (4 10) (4 11) (5 11) (6 11) (7 11) (7 10) (8 10),7
