participantID,trialNumber,spawnPosition,targetLandmark,timeTaken,granularDistanceTravelled,ManhattanRoute,ManhattanDistance
p,0,(1 1),Trashcan,2.655982,27.66068,(1 1) (1 2) (1 3) (2 3) (3 3) (4 3) (5 3) (5 4) (6 4),8
p,1,(6 1),Crate,7.652121,76.15707,(6 1) (6 2) (7 2) (8 2) (8 3) (8 4) (8 5) (8 6) (9 6) (10 6) (11 6) (11 7) (11 8) (11 9) (11 10) (10 10) (9 10) (9 9) (9 8) (8 8) (8 7),20
p,2,(4 8),Tombstone,1.841303,16.83234,(4 8) (4 7) (4 6) (5 6) (6 6) (6 7),5
p,3,(9 6),Barrel,2.893248,30.74301,(9 6) (10 6) (11 6) (11 7) (11 8) (11 9) (11 10) (11 11) (10 11),8
p,4,(3 3),Lamppost,3.330187,36.99113,(3 3) (2 3) (1 3) (1 4) (1 5) (1 6) (1 7) (1 8) (1 9) (1 10) (2 10),10
p,5,(11 7),Chair,3.669811,38.80361,(11 7) (11 8) (10 8) (9 8) (8 8) (7 8) (7 7) (7 6) (8 6) (8 5) (8 4) (7 4),11
p,6,(4 9),Mailbox,4.350578,44.48782,(4 9) (4 8) (4 9) (4 10) (4 11) (3 11) (4 11) (5 11) (6 11) (7 11) (7 10) (8 10),11
p,7,(6 6),Hammer,4.250801,43.37051,(6 6) (7 6) (7 7) (7 8) (7 9) (7 10) (7 9) (7 10) (7 11) (6 11) (5 11) (5 10),11
p,8,(8 3),Anvil,2.693657,29.37243,(8 3) (8 2) (7 2) (6 2) (5 2) (5 3) (4 3) (3 3) (3 2),8
o,0,(1 1),Trashcan,2.930382,29.23061,(1 1) (1 2) (1 3) (2 3) (3 3) (4 3) (5 3) (5 4) (6 4),8
o,1,(6 1),Crate,3.533148,40.04922,(6 1) (6 2) (7 2) (6 2) (5 2) (5 3) (5 4) (5 5) (5 6) (6 6) (7 6) (7 7) (8 7),12
o,2,(4 8),Tombstone,4.051913,41.09597,(4 8) (4 9) (4 10) (5 10) (4 10) (4 9) (4 8) (4 7) (4 6) (5 6) (6 6) (6 7),11
o,3,(9 6),Barrel,2.65457,28.09263,(9 6) (10 6) (11 6) (11 7) (11 8) (11 9) (11 10) (10 10) (10 11),8
o,4,(3 3),Lamppost,3.913229,41.21253,(3 3) (2 3) (1 3) (1 4) (1 5) (1 6) (1 7) (1 8) (1 9) (1 10) (2 10),10
o,5,(11 7),Chair,3.61961,35.87806,(11 7) (11 8) (10 8) (9 8) (8 8) (7 8) (7 7) (7 6) (8 6) (8 5) (8 4) (7 4),11
o,6,(4 9),Mailbox,2.605886,29.93053,(4 9) (4 8) (4 9) (4 10) (4 11) (5 11) (6 11) (7 11) (7 10) (8 10),9
o,7,(6 6),Hammer,3.567083,40.94698,(6 6) (7 6) (8 6) (7 6) (7 7) (7 8) (7 9) (7 10) (7 11) (6 11) (5 11) (5 10),11
o,8,(8 3),Anvil,2.802662,30.3363,(8 3) (8 2) (7 2) (6 2) (5 2) (5 3) (4 3) (3 3) (3 2),8
